,question,answer
36,若 我 所 訂購 的 商品 是 使用 信用卡 分期付款  若 屆時 部分 商品 不 滿意  請問 可以 部分 退貨 \ 退款 嗎  ,您好 ， 很 抱歉 ! 由於 您 訂購 商品 的 付款 方式 是 選擇 分期付款 ， 因 銀行 端的 作業 無法 配合 部分 的 分期 退款 ， 故 訂單 若 申請 部分 退貨 ， 款項 將會 以 退款 方式 處理 ， 請 您 於 網頁 申請 退貨 時 ， 再 填寫 正確 退款 帳戶 資料 ， 待 收回 商品 點收 無誤 後 ， 款項 將會 於 7 - 10 個 工作 天 內 申請 退款 處理 。 感謝您 的 支持 Pure17go 客服 中心 敬 上
37,我 在 網路上 已經 申請 退貨  大概 多久 司 機會 來 收貨  ,您好 ， 很 高興 為您服務 若 您 在 網路上 已 申請 退貨 司機 將會 在 七個 工作 天 ( 不 含 假日 ) 內至 您 收件 地址 收取 退貨 謝謝您 的 來信 。 如 有 任何 問題 請 不吝 告知 ~ pure17go   客服 中心 敬 上
38,我 是 用 信用卡 付款  請問 多久 可以 收到 款,您好 ， 很 高興 為您服務 若 您 訂單 付款 方式 為 ： 信用卡 付款 訂單 辦理 退貨 情況 ， 退款 一律 使用 信用卡 退刷 處理 款項 會 在 收回 退貨 商品 確認 無誤 後 ， 約 10 個 工作 天 內 完成 退刷 ！ 但 因 每張 信用卡 結帳 日 不同 ， 刷 退 款項 可能 列於 本月 或次 月 帳單 中 ， 請 依 您 的 結帳 日 判斷 ! 謝謝您 的 來信 。 pure17go 客服 中心   敬 上
39,請問 我 是 付現金  不是 刷卡 付款  是 怎麼 退款 ,您好 ， 很 高興 為您服務 若 您 訂單 付款 方式 為 ： 貨到付款 或 ATM 轉帳 訂單 辦理 退貨 情況 ， 退款 一律 皆 退 至 您 提供 的 退款 帳戶 款項 會 在 收回 退貨 商品 確認 無誤 後 ， 約 10 個 工作 天 內 完成 退款 ！ 謝謝您 的 來信 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go   客服 中心 敬 上
40,請問 我要 如何 退貨 ,您好 ， 您 收到 商品 皆 享有 七天 審閱 期 ， 但 審閱 期 並非 試用期 ！ ！ 若 您 在 鑑賞 期內 欲 辦理 退貨 ， 請 您 務必 保持 商品 完整性 ， 並於 收到 商品 三個 工作 天 後 ， 透過 網路 申請 退貨 需求 。 若 您 是 使用 手機 或是 平版 上網 ， 請 先於 網頁 下方 點選 【 電腦 版 】 再 登入 會員 ， 點選 訂單 查詢 辦理 退貨 。 1 、 登入 會員帳號 2 、 點選 訂單 查詢 3 、 點選 欲 退貨 之 購物 編號 ， 訂單 狀態 須為 【 出貨 完成 】 4 、 點選 【 我要 退貨 】 申請 ， 依照 網頁 說明 ， 完成 退貨 申請 5 、 確認 退貨 申請 ， 司機 將於 七個 工作 天 ( 不 含 假日 ) 至原 收件 地址 收取 退貨 6 、 待 倉庫 收到 退貨 商品 ， 點收 無誤 後 ， 退款 即會 在 10 個 工作 天 內 申請 退刷 / 退匯 處理 特別 注意 ： 若 收回 退貨 商品 經 點收 後 ， 發現 退貨 商品 不符 審閱 期 規範 ， 將 無法 受理 您 的 退貨 ， 且 後續 會 協助 將 退貨 商品 寄還給 您 。 pure17go 客服 中心   敬 上
41,請問 我 買 錯 顏色  買錯 組合  要換 尺寸  可以 直接 更換 嗎,您好 ， 很 高興 為您服務 若 您 收到 商品 ， 發現 商品 尺寸 、 品項 、 顏色 不符 需求 ， 很 抱歉 ， 無法 以 換貨 方式 更換 ， 請 您 辦理 退貨 ， 重下 新單 ， 換貨 僅 提供 商品 瑕疵 情況 ， 請 廠商 協助 處理   ， 在 商品 未 使用 及 下水 且 商品 完整 情況 下   ， 商品 皆 享有 七天 鑑賞期 ， 請 您 透過 網路 申請 退貨 處理 ! 謝謝您 的 來信 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go   客服 中心 敬 上
42,請問 活動 折價券 如何 使用 ,您好 ， 活動 折價券 使用 辦法 如下 ： 折價券 使用 說明 : 1 . 若要 查詢 每張 折價券 使用 期限 與 消費 折抵 門檻 ， 請 您 登入 網頁 會員 後 ， 即可 至 您 的 會員 帳戶 內 點選 【 折價券 】 ， 查詢 您 的 折價券 餘額 及 效期 ， 若 在 期限 前未 使用 完畢 ， 則 視為 自動 放棄 。 ， 造成 不便 敬請 見諒 2 . 結帳 時若 訂單 商品 金額 ， 皆 符合 折價券 折抵 規範 ， 系統會 依照 折價券 期限 自動 折抵 ， 另 提醒您 單筆 訂單 僅能 使用 一張 折價券 折扣 。 3 . 部分 已 優惠 商品 不 適用 折價券 折抵 ， 請 參見 各 商品 頁 說明 。 4 . 折價券 一經 使用 則 不可 返回 ， 若 您 取消 訂購 （ 或 退貨 ） 該 折價券 將不 退回 。 5 . 特別 要 提醒 的 部份 ， 若 您 部份 退貨 造成 不符 折抵 條件 ， 則 退貨 金額 需 扣除 該次 使用 的 折價券 金額 。 （ 例 ： 若 訂單 金額 2000 ， 使用 折價券 200 元 ， 實際 支付 1800 元 ， 部份 退貨 900 元 ， 則實 退 金額 為 900 - 200 = 700 元 ) 。 感謝您 的 支持 ～ pure17go 客服 中心   敬 上
43,請問 生日 折價券 如何 獲得 ,您好 ， 很 高興 為您服務 。 生日 折價券 會 在 當月份 1 號 發送 當月份 的 生日 壽星 會員 三百元 。 如 您 是 三月份 生日 ， 因此 三月份 的 壽星 折價券 已 在 3 / 1 即 已 發送 完畢 。 於 3 / 1 以後 加入 會員 的 三月份 壽星 即會 無法 收到 折價券 。 本站 的 折價券 使用 說明 如下 ： 1 . 單次 消費 金額 超過 1000 元 以上 即可 使用 1 張 100 元 的 折價券 ， 提醒您 單筆 訂單 僅能 使用 一張 折價券 折扣 。 2 . 每張 折價券 皆 有 使用 期限 ， 您 可以 至 您 的 會員 帳戶 查詢 您 的 折價券 餘額 、 生效 日期 及 截止 日期 ， 若 在 期限 前未 使用 完畢 ， 則 視為 自動 放棄 。 3 . 折價券 一經 使用 則 不可 返回 ， 若 您 辦理 退貨 該 折價券 將不 退回 。 4 . 特別 要 提醒 的 部份 ， 若 您 部份 退貨 ， 則 退貨 金額 需 扣除 該次 使用 的 折價券 金額 。 （ 例 ： 若 訂單 金額 2600 ， 使用 折價券 200 元 ， 實際 支付 2400 元 ， 部份 退貨 900 元 ， 則實 退 金額 為 900 - 200 = 700 元 ） 但 若 商品 網頁 有 註 明 特惠 商品 不 適用 折價券 折扣 ， 即 無法 與 折價券 合 併 使用 。 以上 說明 ， 若 有 不 清楚 的 地方 ， 歡迎 隨時 來信 ， 我們 將 會 儘 速 為您服務 ， 謝謝 。 pure17go 　 客服 中心 敬 上
44,請問 折價券 有 使用 上 的 限制 嗎,親愛 的 顧客 您好 ， 本站 的 折價券 使用 說明 如下 ： 1 . 單次 消費 金額 超過 1000 元 以上 即可 使用 1 張 100 元 的 折價券 ， 提醒您 單筆 訂單 僅能 使用 單張 折價券 折扣 。 2 . 每張 折價券 皆 有 使用 期限 ， 您 可以 至 您 的 會員 帳戶 查詢 您 的 折價券 餘額 及 效期 ， 若 在 期限 前未 使用 完畢 ， 則 視為 自動 放棄 。 3 . 折價券 一經 使用 則 不可 返回 ， 若 您 辦理 退貨 該 折價券 將不 退回 。 4 . 特別 要 提醒 的 部份 ， 若 您 部份 退貨 ， 則 退貨 金額 需 扣除 該次 使用 的 折價券 金額 。 （ 例 ： 若 訂單 金額 2600 ， 使用 折價券 200 元 ， 實際 支付 2400 元 ， 部份 退貨 900 元 ， 則實 退 金額 為 900 - 200 = 700 元 ） 5 . 折價券 系統 皆 會 自動 判斷 折抵 ， 除非 特殊 活動 期間 ， 網頁 無法 使用 折價券 折扣 ， 即 無法 折抵 。 以上 說明 ， 若 有 不 清楚 的 地方 ， 歡迎 隨時 來信 ， 我們 將 會 儘 速 為您服務 ， 謝謝 ～
45,請問 生日 折價券 要 如何 使用  消費 一次 只能 使用 一張 嗎,您好 ！ 生日 折價券 的 使用 方式 與 一般 折價券 相同 。 本站 的 折價券 使用 說明 如下 ： 1 . 單次 消費 金額 超過 1000 元 以上 即可 使用 1 張 100 元 的 折價券 ， 提醒您 單筆 訂單 僅能 使用 單張 折價券 使用 。 2 . 每張 折價券 皆 有 使用 期限 ， 您 可以 至 您 的 會員 帳戶 查詢 您 的 折價券 餘額 及 效期 ， 若 在 期限 前未 使用 完畢 ， 則 視為 自動 放棄 。 3 . 折價券 一經 使用 則 不可 返回 ， 若 您 辦理 退貨 該 折價券 將不 退回 。 4 . 特別 要 提醒 的 部份 ， 若 您 部份 退貨 ， 則 退貨 金額 需 扣除 該次 使用 的 折價券 金額 。 （ 例 ： 若 訂單 金額 2600 ， 使用 折價券 200 元 ， 實際 支付 2400 元 ， 部份 退貨 900 元 ， 則實 退 金額 為 900 - 200 = 700 元 ） 以上 說明 ， 若 有 不 清楚 的 地方 ， 歡迎 隨時 來信 ， 我們 將 會 儘 速 為您服務 。 pure17go 客服 中心   敬 上
46,新會員 首購 折價券 如何 使用 呢  是否 可以 和 其他 折價券 一同 使用 呢 ,"您好 , 新會員 首購 活動 如下 : 新會員 加入 會員 立即 送 1000 元 折價券 ， 折價券 面額 如下 ： 折價券 面額 $ 100 元 x1 張   ( 消費 滿 1 , 000 得 抵用 一張 ) 折價券 面額 $ 200 元 x1 張   ( 消費 滿 2 , 000 得 抵用 一張 ) 折價券 面額 $ 300 元 x1 張   ( 消費 滿 3 , 000 得 抵用 一張 ) 折價券 面額 $ 400 元 x1 張   ( 消費 滿 4 , 000 得 抵用 一張 ) 當下 立即 歸戶 即可 使用 ， 使用 期限 90 天 。 例如 : 訂單 結帳 金額 2000 元 以上 ， 可 使用 200 元 折價券 一張 ， 若 訂單 結帳 金額滿 4000 元 以上 ， 可 使用 400 元 折價券 一張 ， 系統會 自動 折抵 ， 無須 輸入 折價券 序號 。 新會員 首購 優惠 無法 合 併 其他 優惠 使用 ， 例如 : 若 商品 網頁 有 註 明 * 特惠 商品 組合 不 適用 折價券 折扣 ， 即 表示 此 商品 無法 使用 折價券 折扣 ； 若 首次 訂購 商品 ， 訂單 取消 ， 再 重新 成立 訂單 ， 折價券 是 會 回歸 仍 可 使用 ， 但 若 訂單 辦理 退貨 ， 折價券 則會 歸零 。 再次 提醒 折價券 使用 期限 為 發行 後 90 天須 使用 完畢 。 新會員 折價券 無法 與 網頁 行銷 活動 優惠 合 併 使用 ， 故請 您 訂單 結帳 時擇 一 使用 。 pure17go 客服 中心   敬 上"
47,請問 我們 想 在 Pure17go 上架 販售  如何 聯 繫 呢 ,您好 ！ 感謝您 的 來信 ~ 煩請 您 將貴 公司 的 相關 基本 資料 與 販售 商品 相關 說明 寄至 [ emailprotected ] 我們 將 轉交 予 相關 商開 人員 與 您 聯 繫 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 請 不吝 告知 。 pure17go 　 客服 中心 敬 上
48,申請 之 發票 何時 寄,您好 ， 發票 將於 您 收到 商品 十天 後 ， 未辦理 退貨 情況 下 ， 紙本 發票 將會 在 兩 週內 【 掛號 】 寄出 。 煩請 您 耐心 等候 ～ 謝謝您 的 來信 ！ pure17go 客服 中心   敬 上
49,請問 原本 選 二聯式 發票 或 三聯式 發票  之後 可以 更改 嘛,您好 ， 很 高興 為您服務 注意 : 若 您 當初 於 訂購 時 已 選擇 三聯式 發票 ， 訂單 成立 後 就 無法 更 改為 二聯式 發票 ， 當初 已 選擇 二聯式 發票 亦 無法 變更 為 三聯式 發票 ， 請於 消 費時 確認 應 取得 二聯 （ 個人消費 ） 或 三聯 （ 報帳 用 ） 發票 ， 本 公司 已盡 告知 義務 ， 且為 配合 國稅局 勸止 二聯 換開 三聯 之 政策 ， 本 公司 有 權利 考量 各 因素 後 拒絕 換 開發票 。 若誤 選請 盡速 取消 訂單 重新 訂購 。 Pure17go   客服 中心 敬 上
50,紙本 發票 問題 是否 可更改 抬頭  ,您好 ， 訂單 只要 一經 成立 ， 電子 發票 抬頭 即 設定 皆 為 空白 故若 後續 申請 紙本 發票 ， 列印 之 抬頭 也 將會 是 空白 倘若 發票 寄送 地址 及 相關 聯絡 資料 因 消費者 填寫 不 完整 或 錯誤 導致 發票 無法 寄送 或 超過 對獎 期間 內 送達 本 公司 將不 受理 補償 及其 他 相關 賠償 責任 感謝您 的 支持 pure17go   客服 中心 敬 上
51,電子 發票    好康 報報 ,"財政部 為 提倡 環保 ， 減少 紙張 浪費 ， 針對 電子 發票 提出 優惠 響應 方法 : 2013 / 7 / 1 起持 載具 消費 不 列印 電子 發票 ， 每期 加開 2 , 000 組 2 , 000 元 專屬 獎項 為 提高 民眾 使用 載具 索取 電子 發票 之 誘因 ， 財政部 規劃 實施 「 無 實體 電子 發票 專屬 獎項 」 ， 並自 102 年 7 至 8 月期 統一發票 起 ， 每期 無 實體 電子 發票 加開 2 , 000 個 專屬 中獎號碼 ， 每個 中獎號碼 獎金 新 臺 幣 ( 下同 ) 2 , 000 元 。       推動 電子 發票 最終目標 是 達成 全面 無紙化 ， 目前 每期 無 實體 電子 發票 開立 張數 約 3 , 000 萬張 ， 占 整體 電子 發票 之 比率 僅 6% ， 為 鼓勵 民眾 使用 手機 條碼 、 悠遊 卡 、 icash 卡 、 會員卡 等 載具 儲存 電子 發票 替代 索取 紙本 電子 發票 ， 以 落實 全面 無紙化 目標 ， 財政部 規劃 「 無 實體 電子 發票 專屬 獎項 」 ， 自 102 年 7 至 8 月期 統一發票 起 ， 每期 抽出 2 , 000 個 專屬 中獎號碼 （ 含 2 位 英文字 軌及 8 位 阿拉伯數 號碼 ） ， 民眾 若 同時 對 中 統一發票 各獎 別及 無 實體 電子 發票 專屬 獎項 號碼 ， 可 選擇 較 高 之 獎額 兌領 。 　 　 民眾 以 愛心 碼 捐贈 予社福 團體 之 電子 發票 及消 費時 直接 捐贈 給社福 團體 之 無 實體 電子 發票 ， 亦 包含 在 本次 無 實體 電子 發票 抽獎 範圍 。 已 捐贈 之 無 實體 電子 發票 若 中獎 將由 受贈 社福 團體 領取 獎金 。 　 　 財政部 呼籲 民眾 響應 環保 愛護 地球 ， 購物 消費 要 記得 使用 載具 儲存 電子 發票 或 以 愛心 碼 捐贈 電子 發票 ， 自 102 年 7 至 8 月期 統一發票 起 ， 每期 加開 2 , 000 個 無 實體 電子 發票 獎項 ， 每個 獎額 2 , 000 元 ， 等 您 來 兌領 。 　 　 故請 各位 會員 盡量 選擇 電子式 二聯 發票 ， 除了 可 增加 發票 對獎 機率 還可 響應 環保 ， 一舉兩得 ， 電子式 二聯式 發票 皆 會 由 電腦 系統 兌獎 ， 有 中獎 皆 會 使用 掛號 寄送 ， 請 各位 大大 安心 選擇 電子式 二聯 發票 ! ! ! !"
52,請問 我 買 三樣 商品  為 甚麼 只 收到 兩樣 ,"您好 , 很 高興 為您服務 . 由於 商品 有 可能 因為 材積 關係 放置 不同 倉庫 , 由 不同 廠商 分批 出貨 . 但 商品 都 會 在 三 ~ 五個 工作日內 ( 即 不 含 六日 ) 完成 寄出 , 故請 您 不 需 擔心 . 謝謝您 的 來信 .   如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go 　 客服 中心 敬 上"
53,請問 客服 電話 是 多少  無法 接聽 上 怎麼辦 ,您好 ， 很 高興 為您服務 。 免 付費 專線 0800 - 58 - 6868 ， 因 客服 電話 非 24 小時 都 有 客服 人員 在線 上 ， 歡迎 直接 來信 告知 您 的 問題 ， 以便 為 您 處理 ! （ 服務 時間 為 週一至 週五 AM9 : 30 - 12 : 00   PM13 : 30 - 17 : 00 ) 如 您 還有 任何 需要 我們 服務 的 地方 ， 請 不吝 告知 。 pure17go 客服 中心   敬 上
54,我 忘記 密碼 了  怎麼辦 ,親愛 的 顧客 您好 ： 1 . 您 可以 至 會員 登入 頁 點選 我 忘記 密碼 ， 系統 自會 發 mail 與 簡訊 至 您 原本 註 冊 的 email 信箱 和 手機 內 ， 請 您 至 該 email 信箱 領取 驗證碼 ， 進入 指定 連結 更改 密碼 即可 。 2 . 若 您 使用 的 是 yahoo . pchome … 等 免費信箱 ， 這些 信箱 有 可能 將 本站 發出 的 信件 自動 歸入 垃圾 信件 中 ， 若 您 於 30 分鐘 內 未 收到 ， 請 您 至 垃圾郵件 再次 確認 。 謝謝您 的 來信 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。   pure17go 　 客服 中心 敬 上
55,請問 收到 貨物  未 甚麼 未附 上 發票 ,您好 ， 消費 高手 一起 購 ， 自   2013 年 起 即 使用 二聯式 電子式 發票 ， 並 不會 寄送 購物 紙本 發票 。 會由系 統統 一 核對 發票 ， 如 有 中獎 才 會 掛號 寄出 喔 ！ 查看 發票 處為 登入 帳號 後 ， 點選 右上角 ＂ 訂單 查詢 ＂ ， 進去 點選 您 要 查詢 的 訂單 ( 購物 編號 ) ， 下方 寄送 資訊 中 即可 查看 您 的 發票 號碼 ( 索取 紙本 發票 ) 。 如 您 需要 紙本 發票 ， 煩請 您 在 收到 商品 十天 後 進入 ＂ 訂單 查詢 ＂ 後 ， 點選 ＂ 申請 紙本 發票 ＂ ， 紙本 發票 將會 在 兩 週內 【 平信 】 完成 寄出 。 謝謝您 的 來信 ～ pure17go 客服 中心   敬 上
56,重要 公告  勿 聽信 來路不明 的 詐騙 電話    防 詐騙   請撥 165 求證,【 Pure17go   提醒您 ， 請 提高 警覺 維護 個人資料 】 因 網路 詐騙 頻傳 ， Pure17go 十分重視 重視 消費者 權益 ， 除了 提升 資安 防護 等級 ， 定期 與 專業 資安 廠商 顧問 協商 諮 詢外 特別 提醒您 ： ● 勿 點擊 來路不明 的 網址 連結 ， 勿 在 公用 電腦 登入 您 私人帳戶 ， 如果 一定 要 登入 ， 離開 時請 記得 登出 。 ● 每 三個 月 定期 更新 密碼 ， 定期 更新 防毒 軟體 與 定期 執行 掃毒 程式 。 ● 個人 郵件 與 不同 網站 會員資料 ， 盡量 使用 不同 帳戶 、 密碼 。 ● 若 您 使用 門 巿 到 店 取貨 或是 宅配 貨到 收款 ， 不會 發生 【 分期付款 】 及 【 自動 扣款 】 的 選項 ● ATM 轉帳 僅可將 錢 轉出 ， 無法 解除 錯誤 設定 ， 更 無法 將錢 轉入 ！ 並 無法 解除 分期 設定 ● Pure17go 不會 在 非 上班時間 外 撥電話 ， 若有 任何 疑慮 請洽 本站 或 與 165 反 詐騙 諮 詢 專線 確認 。
57,請問 為 甚麼 我 不能 使用 貨到付款 或是 7 - 11 取貨 付款 呢  ,您好 ， 很 高興 能 為您服務 。 Pure17go 的 商品 皆 已 訂購 金額 為 售價 ， 並不需要 運費 ， 商品 皆 為免 運費 。 目前 出貨 方式 有宅配 ， 宅配 貨到 收款 ， 信用卡 及 ATM 匯款 。 但是 並非 每 一樣 商品 皆 有 做 宅 配貨到 收款 的 服務 ， 故 如果 您 需要 此 服務 配送 ， 則 煩請 您 購買 商品 頁 中 有 標示 宅配 貨到 收款 的 商品 喔 ！ 另外 ， 如果 您 的 整筆 訂單 中有 其中 一樣 商品 並未 提供 宅配 貨到 收款 的 服務 ， 您 的 整筆 訂單 即 無法 使用 此 服務 。 還 煩請 您 注意 喔 。 謝謝您 的 來信 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go 　 客服 中心 敬 上
58,請問 我 完成 訂單 後  可以 更改 訂單 內容 或 付款 方式 嗎,您好 ， 很 高興 能 為您服務 。 一旦 訂單 完成 後 ， 即 無法 更改 內容 與 付款 方式 。 須 煩請 您 自行 取消 訂單 後 ， 再 重新 訂購 喔 ！ 謝謝您 的 來信 詢問 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go 　 客服 中心 敬 上
59,請問 你們 可以 指定 送貨 日期 與 時間 嗎,您好 ， 很 高興 為您服務 。 不好意思 ! 網頁 訂單 無法 指定 到貨 時間 ， 但 若 司機 配送 時 無人 收件 ， 司機 皆 會 電話 聯 繫 收件人 確認 ， 請 您 屆時 再 與 司機 確認 即可 。 謝謝您 的 支持 與 訂購 喔 ！ pure17go 客服 中心   敬 上
60,請問 你們 有 配送 國外 嗎 ,您好 ， 很 抱歉 ， 由於 商品 體積 及 保存 方式 不 一 ， 台灣 本島 以外 地區 一律 無法 配送 ！ 造成 您 的 不便 ， 敬請 見諒 ！ 感謝您 的 支持 ～ pure17go 客服 中心   敬 上